"","x","class","predicted","std.error","conf.low","conf.high"
"77",2013,"Neotraditional",0.20824341259479,0.0746065232939801,0.185159849580801,0.233380529053603
"78",2014,"Neotraditional",0.164560698343225,0.0844461598281193,0.143049474742526,0.188594797834364
"79",1976,"Conventional Realists",0.144451019610988,0.0662976725109669,0.129122033077157,0.161262838632043
"80",1977,"Conventional Realists",0.153295564483661,0.0566535278896539,0.139431148972118,0.168269032023989
"81",1978,"Conventional Realists",0.149504944608279,0.0527322241453926,0.136833541839592,0.16312801251119
"82",1979,"Conventional Realists",0.14752274528952,0.0551924195640878,0.134430618860506,0.161651784242765
"83",1980,"Conventional Realists",0.172059997330721,0.0521082798063927,0.157994302944789,0.187099660170438
"84",1981,"Conventional Realists",0.170972816019976,0.0497933455042192,0.157580517704936,0.185252995232656
"85",1982,"Conventional Realists",0.18430850126815,0.0487199672564039,0.170383098373937,0.199098889872769
"86",1983,"Conventional Realists",0.22090336860428,0.0469433137530673,0.205475514524053,0.237143857740201
"87",1984,"Conventional Realists",0.222042816039248,0.0476428970111728,0.206331851419106,0.238590450767092
"88",1985,"Conventional Realists",0.237256055897772,0.0466514598151484,0.221108606991739,0.25419788968792
"89",1986,"Conventional Realists",0.249397734043368,0.0469910670242519,0.232557195676541,0.267033445301084
"90",1987,"Conventional Realists",0.250572200039413,0.045477699700094,0.234208618811663,0.267679434250104
"91",1988,"Conventional Realists",0.243270794475286,0.0460435242529956,0.22704476865106,0.260265973237473
"92",1989,"Conventional Realists",0.238248407059142,0.0507771330158266,0.22065937194326,0.25677754004025
"93",1990,"Conventional Realists",0.264882435802591,0.0514385914549318,0.245721638471159,0.284972858039084
"94",1991,"Conventional Realists",0.250246368275033,0.0534611131873622,0.231105293956227,0.270415229631961
"95",1992,"Conventional Realists",0.245274679813859,0.0532667843772118,0.226465768546633,0.265110356300061
"96",1993,"Conventional Realists",0.267238366308067,0.051442999478071,0.247963022146966,0.287439378206971
"97",1994,"Conventional Realists",0.285850961560717,0.0515024889963641,0.265697204536412,0.306894519396263
"98",1995,"Conventional Realists",0.271989005906309,0.0522808927676645,0.252179249113197,0.292745728788095
"99",1996,"Conventional Realists",0.251223560840803,0.0561087990991798,0.23110745301528,0.272470140335217
"100",1997,"Conventional Realists",0.301473143043931,0.054757435568548,0.279364658278856,0.324543299989883
